experiment,time_s,follower,cell,artifact_id,q_seg_max,qdot_seg_max,u_dot_bound,amplitude_guard_pass,slew_guard_pass,domain_pass,artifact_valid,lmi_margin_pass,effective_delay_mode_pass,authority
migration,0.84,4,C1,C1_SHARED_CERT_001,0.420976189453,0.136091951549,3444.15721667,1,1,1,1,1,1,N
migration,0.86,1,C1,C1_SHARED_CERT_001,0.457725577745,0.174427432373,4005.63481431,1,1,1,1,1,1,N
migration,0.86,2,C1,C1_SHARED_CERT_001,0.426138853678,0.119643165797,3309.21917011,1,1,1,1,1,1,N
migration,0.86,3,C1,C1_SHARED_CERT_001,0.427884536288,0.118221796873,3815.75123905,1,1,1,1,1,1,N
migration,0.86,4,C1,C1_SHARED_CERT_001,0.423295753426,0.115978479402,2941.55105144,1,1,1,1,1,1,N
migration,0.88,1,C1,C1_SHARED_CERT_001,0.460784274203,0.152935860786,3517.46648893,1,1,1,1,1,1,N
migration,0.88,2,C1,C1_SHARED_CERT_001,0.42814393171,0.100254173302,2780.64595867,1,1,1,1,1,1,N
migration,0.88,3,C1,C1_SHARED_CERT_001,0.429855483099,0.0985475842382,3190.00298679,1,1,1,1,1,1,N
migration,0.88,4,C1,C1_SHARED_CERT_001,0.425226159389,0.0965205236299,2455.29410091,1,1,1,1,1,1,N
migration,0.90,1,C1,C1_SHARED_CERT_001,0.463422519386,0.131913107032,3039.91510862,1,1,1,1,1,1,N
migration,0.90,2,C1,C1_SHARED_CERT_001,0.429774761627,0.0815417110564,2270.48297713,1,1,1,1,1,1,N
migration,0.90,3,C1,C1_SHARED_CERT_001,0.431446300304,0.0795410486341,2585.45089847,1,1,1,1,1,1,N
migration,0.90,4,C1,C1_SHARED_CERT_001,0.426780698983,0.0777271536244,1985.61442147,1,1,1,1,1,1,N
migration,0.92,1,C1,C1_SHARED_CERT_001,0.465649952574,0.111372331797,2573.28065121,1,1,1,1,1,1,N
migration,0.92,2,C1,C1_SHARED_CERT_001,0.431044957823,0.0635099722829,1778.84606285,1,1,1,1,1,1,N
migration,0.92,3,C1,C1_SHARED_CERT_001,0.432670424135,0.0612063291168,2002.22837165,1,1,1,1,1,1,N
migration,0.92,4,C1,C1_SHARED_CERT_001,0.427972741815,0.0596022680749,1532.61080972,1,1,1,1,1,1,N
migration,0.94,1,C1,C1_SHARED_CERT_001,0.46747649618,0.0913276928304,2117.88578067,1,1,1,1,1,1,N
migration,0.94,2,C1,C1_SHARED_CERT_001,0.431968219064,0.0461631760599,1305.85176754,1,1,1,1,1,1,N
migration,0.94,3,C1,C1_SHARED_CERT_001,0.433541375514,0.0435476605819,1440.47186407,1,1,1,1,1,1,N
migration,0.94,4,C1,C1_SHARED_CERT_001,0.428815737174,0.0421498516034,1096.3842185,1,1,1,1,1,1,N
migration,0.96,1,C1,C1_SHARED_CERT_001,0.468912421831,0.071796651622,1674.12827747,1,1,1,1,1,1,N
migration,0.96,2,C1,C1_SHARED_CERT_001,0.432558377638,0.0295079988251,851.683676276,1,1,1,1,1,1,N
migration,0.96,3,C1,C1_SHARED_CERT_001,0.434072810839,0.0265718171925,900.398645512,1,1,1,1,1,1,N
migration,0.96,4,C1,C1_SHARED_CERT_001,0.429323264215,0.0253763978039,677.098337846,1,1,1,1,1,1,N
migration,0.98,1,C1,C1_SHARED_CERT_001,0.469968430727,0.0528006874661,1242.49727473,1,1,1,1,1,1,N
migration,0.98,2,C1,C1_SHARED_CERT_001,0.432829466096,0.0135544538639,416.616400772,1,1,1,1,1,1,N
migration,0.98,3,C1,C1_SHARED_CERT_001,0.434278590449,0.0102889961476,382.334926319,1,1,1,1,1,1,N
migration,0.98,4,C1,C1_SHARED_CERT_001,0.429509099692,0.00929178678551,275.001540346,1,1,1,1,1,1,N
migration,1.00,1,C1,C1_SHARED_CERT_001,0.470655724005,0.0343647974147,823.561899767,1,1,1,1,1,1,N
migration,1.00,2,C1,C1_SHARED_CERT_001,0.432829466096,0.00168443366103,92.8885770571,1,1,1,1,1,1,N
migration,1.00,3,C1,C1_SHARED_CERT_001,0.434278590449,0.005287508714,223.196689795,1,1,1,1,1,1,N
migration,1.00,4,C1,C1_SHARED_CERT_001,0.429509099692,0.00609103664745,194.982786894,1,1,1,1,1,1,N
migration,1.02,1,C1,C1_SHARED_CERT_001,0.470986043718,0.0165160274449,417.93789526,1,1,1,1,1,1,N
migration,1.02,2,C1,C1_SHARED_CERT_001,0.432795777492,0.0161939519121,488.599056939,1,1,1,1,1,1,N
migration,1.02,3,C1,C1_SHARED_CERT_001,0.434172840559,0.0201426385384,695.846528874,1,1,1,1,1,1,N
migration,1.02,4,C1,C1_SHARED_CERT_001,0.429387279253,0.0207573814948,561.62929525,1,1,1,1,1,1,N
migration,1.04,1,C1,C1_SHARED_CERT_001,0.470986043718,0.000718335381756,58.899439281,1,1,1,1,1,1,N
migration,1.04,2,C1,C1_SHARED_CERT_001,0.432471899116,0.0299594036549,863.985336669,1,1,1,1,1,1,N
migration,1.04,3,C1,C1_SHARED_CERT_001,0.43376998856,0.0342612789615,1145.02501613,1,1,1,1,1,1,N
migration,1.04,4,C1,C1_SHARED_CERT_001,0.428972132368,0.0346925040089,909.966079292,1,1,1,1,1,1,N
migration,1.06,1,C1,C1_SHARED_CERT_001,0.470971677662,0.0173124583006,436.037297943,1,1,1,1,1,1,N
migration,1.06,2,C1,C1_SHARED_CERT_001,0.431872712202,0.0429677223077,1218.69266912,1,1,1,1,1,1,N
migration,1.06,3,C1,C1_SHARED_CERT_001,0.433084764132,0.0476298838387,1570.3030019,1,1,1,1,1,1,N
migration,1.06,4,C1,C1_SHARED_CERT_001,0.428278283381,0.047883216286,1239.66489555,1,1,1,1,1,1,N
migration,1.08,1,C1,C1_SHARED_CERT_001,0.470625430294,0.0332434964393,798.075048363,1,1,1,1,1,1,N
migration,1.08,2,C1,C1_SHARED_CERT_001,0.431013359322,0.0552087997697,1552.44702133,1,1,1,1,1,1,N
migration,1.08,3,C1,C1_SHARED_CERT_001,0.432132167883,0.0602378093772,1971.34371837,1,1,1,1,1,1,N
